Ticker,Company,Price,P/E Ratio
AVY,Avery Dennison Corporation,160.025,18.020832
LOW,"Lowe's Companies, Inc.",214.655,18.14497
GILD,"Gilead Sciences, Inc.",134.32,18.25
BRO,"Brown & Brown, Inc.",56.88,18.527689
GS,"The Goldman Sachs Group, Inc.",1020.34,18.636347
PNW,Pinnacle West Capital Corporation,99.94,18.645523
DLTR,"Dollar Tree, Inc.",116.26,18.661316
LVS,Las Vegas Sands Corp.,50.75,18.726936
MS,Morgan Stanley,207.075,18.739819
RMD,ResMed Inc.,194.6099,18.766624
AEP,"American Electric Power Company, Inc.",126.88,18.76923
OTIS,Otis Worldwide Corporation,70.825,18.836435
DVA,DaVita Inc.,195.89,18.853704
DUK,Duke Energy Corporation,122.745,18.883846
JKHY,"Jack Henry & Associates, Inc.",137.25,19.14226
SNA,Snap-on Incorporated,372.235,19.227013
KMB,Kimberly-Clark Corporation,99.457,19.237331
FSLR,"First Solar, Inc.",298.47,19.29347
COP,ConocoPhillips,113.93,19.31017
AEE,Ameren Corporation,107.69,19.368706
MCK,McKesson Corporation,745.5,19.42418
D,"Dominion Energy, Inc.",67.045,19.777285
ERIE,Erie Indemnity Company,216.54,19.82967
AXP,American Express Company,318.04,19.865084
ULTA,"Ulta Beauty, Inc.",509.61,19.875586
PFE,Pfizer Inc.,26.0685,19.89962
TMUS,"T-Mobile US, Inc.",187.35,19.909672
EXPE,"Expedia Group, Inc.",225.6225,19.948938
HII,"Huntington Ingalls Industries, Inc.",307.28,19.953247
CMS,CMS Energy Corporation,72.36,20.044323
MRSH,"Marsh & McLennan Companies, Inc.",160.35,20.068838
INTU,Intuit Inc.,330.345,20.144512
BSX,Boston Scientific Corporation,48.185,20.161087
ROP,"Roper Technologies, Inc.",325.56,20.322096
CRH,CRH plc,109.595,20.333025
AZO,"AutoZone, Inc.",2953.89,20.679712
MDT,Medtronic plc,74.105,20.699722
BKR,Baker Hughes Company,64.845,20.717253
FRT,Federal Realty Investment Trust,119.605,20.72877
COR,"Cencora, Inc.",270.955,20.778757
CPRT,"Copart, Inc.",33.095,20.814466
ADP,"Automatic Data Processing, Inc.",223.85,20.86207
KVUE,Kenvue Inc.,17.555,20.898811
ATO,Atmos Energy Corporation,170.205,20.961208
KMI,"Kinder Morgan, Inc.",31.385,21.063759
BIIB,Biogen Inc.,196.28,21.082706
PG,The Procter & Gamble Company,144.29,21.095028
SYY,Sysco Corporation,75.9994,21.110945
VLTO,Veralto Corporation,83.18,21.438145
ZBH,"Zimmer Biomet Holdings, Inc.",82.79,21.448187
SBAC,SBA Communications Corporation,203.63,21.457325
HAL,Halliburton Company,38.925,21.505526
PAYX,"Paychex, Inc.",97.71,21.569534
CPAY,"Corpay, Inc.",361.25,21.631735
TEL,TE Connectivity plc,211.94,21.670757
DGX,Quest Diagnostics Incorporated,195.91,21.671461
PPL,PPL Corporation,35.325,21.67178
ICE,"Intercontinental Exchange, Inc.",149.02,21.691412
DRI,"Darden Restaurants, Inc.",205.91,21.697577
AWK,"American Water Works Company, Inc.",122.41,21.703901
EVRG,"Evergy, Inc.",82.0051,21.809866
GD,General Dynamics Corporation,347.21,21.864609
UNP,Union Pacific Corporation,266.19,21.908644
FDX,FedEx Corporation,410.4,21.923077
NEE,"NextEra Energy, Inc.",86.53,21.961927
BKNG,Booking Holdings Inc.,168.39,22.18577
WEC,"WEC Energy Group, Inc.",111.1,22.26453
CRM,"Salesforce, Inc.",192.905,22.352839
KDP,Keurig Dr Pepper Inc.,30.235,22.396296
LII,Lennox International Inc.,504.72,22.412077
LNT,Alliant Energy Corporation,71.47,22.474842
HD,"The Home Depot, Inc.",317.785,22.585999
AVB,"AvalonBay Communities, Inc.",182.775,22.620668
META,"Meta Platforms, Inc.",625.765,22.743364
XEL,Xcel Energy Inc.,79.08,22.789625
PEP,"PepsiCo, Inc.",144.975,22.794811
IQV,IQVIA Holdings Inc.,184.4,22.87841
WSM,"Williams-Sonoma, Inc.",204.54,22.930492
NI,NiSource Inc.,46.31,23.039803
ITW,Illinois Tool Works Inc.,248.57,23.101301
MCD,McDonald's Corporation,281.0,23.184818
LH,Labcorp Holdings Inc.,262.2625,23.209072
AMGN,Amgen Inc.,335.34,23.336117
HSIC,"Henry Schein, Inc.",77.25,23.33837
CME,CME Group Inc.,274.76,23.463707
SO,The Southern Company,91.79,23.475702
DTE,DTE Energy Company,142.8,23.486843
PCAR,PACCAR Inc,110.5,23.51064
IFF,International Flavors & Fragrances Inc.,76.975,23.831268
BEN,"Franklin Resources, Inc.",31.295,23.889315
