Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
AIZ,92.0,85.0,16.0,351.0,57.0,239.0,186.0,346.0,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,12267003904,1363000586.2222223,9,28,94.30379746835443,A+ (Exceptional)
MKC,53.0,19.0,117.0,310.0,22.0,49.0,57.0,136.0,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,12485078016,1387230975.4444444,9,29,94.09282700421942,A+ (Exceptional)
HRL,142.0,363.0,388.0,247.0,108.0,131.0,187.0,401.0,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,12824374272,1424930693.2222223,9,30,93.88185654008439,A+ (Exceptional)
EG,4.0,98.0,190.0,369.0,4.0,154.0,68.0,282.0,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,12856022016,1428447020.5555556,9,31,93.67088607594937,A+ (Exceptional)
IT,183.0,10.0,173.0,186.0,429.0,,447.0,144.0,"Gartner, Inc.",Technology,Information Technology Services,11768802304,1471100484.5,8,32,93.45991561181435,A+ (Exceptional)
COO,131.0,386.0,134.0,317.0,107.0,,134.0,343.0,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,11772227584,1471528642.0,8,33,93.24894514767934,A+ (Exceptional)
ZBRA,118.0,332.0,218.0,343.0,224.0,,99.0,332.0,Zebra Technologies Corporation,Technology,Communication Equipment,11809746944,1476218576.25,8,34,93.0379746835443,A+ (Exceptional)
PNW,150.0,253.0,,410.0,69.0,157.0,206.0,361.0,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,11849075712,1481134664.75,8,35,92.82700421940928,A+ (Exceptional)
APA,16.0,18.0,3.0,89.0,29.0,2.0,111.0,70.0,APA Corporation,Energy,Oil & Gas E&P,13442472960,1493608144.2222223,9,36,92.61603375527426,A+ (Exceptional)
PSKY,172.0,,77.0,415.0,345.0,366.0,435.0,431.0,Paramount Skydance Corporation,Communication Services,Entertainment,11991940096,1498992792.125,8,37,92.40506329113924,A+ (Exceptional)
GPC,269.0,438.0,403.0,406.0,386.0,198.0,441.0,432.0,Genuine Parts Company,Consumer Cyclical,Auto Parts,13518495744,1502055413.0,9,38,92.19409282700421,A+ (Exceptional)
GDDY,145.0,2.0,34.0,161.0,387.0,,382.0,80.0,GoDaddy Inc.,Technology,Software - Infrastructure,12181705728,1522713364.875,8,39,91.9831223628692,A+ (Exceptional)
ALGN,133.0,341.0,373.0,256.0,206.0,,100.0,312.0,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,12276779008,1534597591.125,8,40,91.77215189873418,A+ (Exceptional)
UDR,333.0,287.0,265.0,380.0,208.0,131.0,353.0,179.0,"UDR, Inc.",Real Estate,REIT - Residential,13818380288,1535375824.8888888,9,41,91.56118143459916,A+ (Exceptional)
CLX,,5.0,37.0,224.0,,75.0,10.0,155.0,The Clorox Company,Consumer Defensive,Household & Personal Products,10770464768,1538637896.2857144,7,42,91.35021097046415,A+ (Exceptional)
REG,227.0,350.0,163.0,210.0,134.0,273.0,269.0,182.0,Regency Centers Corporation,Real Estate,REIT - Retail,14308937728,1589882170.6666667,9,43,91.13924050632912,A+ (Exceptional)
NWSA,264.0,389.0,270.0,344.0,131.0,351.0,148.0,370.0,News Corporation,Communication Services,Entertainment,14369981440,1596664856.3333333,9,44,90.92827004219409,A+ (Exceptional)
BALL,60.0,125.0,44.0,299.0,100.0,189.0,396.0,349.0,Ball Corporation,Consumer Cyclical,Packaging & Containers,14409261056,1601029179.7777777,9,45,90.71729957805907,A+ (Exceptional)
MGM,301.0,372.0,42.0,359.0,322.0,,432.0,410.0,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,12883388416,1610423831.75,8,46,90.50632911392404,A+ (Exceptional)
